trip_id,y_actual_route,y_pred_route,lower_route,upper_route,n_segments,date,direction,interval_width
13141,3530.0,3401.2952,-6312.724487179643,13115.31487550748,40,2024-08-27,2,19428.039362687123
13144,3629.0,3282.6833,-5989.611228591329,12554.978089934713,39,2024-08-27,2,18544.589318526043
13145,3801.0,3477.3374,-6236.682173618799,13191.357189068323,40,2024-08-27,2,19428.039362687123
13147,4953.0,5305.0903,-3202.4161627702188,13812.596357624954,36,2024-08-27,1,17015.012520395172
13149,4818.0,5258.9517,-2330.5268055087545,12848.430484402797,34,2024-08-27,1,15178.957289911552
13152,2676.0,5207.5264,-2191.9649590203053,12607.017357701945,33,2024-08-27,1,14798.98231672225
13153,3595.0,3531.286,-6182.733895668513,13245.30546701861,40,2024-08-27,2,19428.039362687123
13158,5092.0,4564.773,-3398.3971778786677,12527.943244162847,35,2024-08-27,1,15926.340422041514
13159,5761.0,5618.05,-2622.4631457598935,13858.562419441534,35,2024-08-27,1,16481.025565201428
13161,3375.0,3507.362,-6206.6576694340765,13221.381693253046,40,2024-08-27,2,19428.039362687123
13163,5689.0,5666.548,-2840.9585917405557,14174.053928654617,36,2024-08-27,1,17015.012520395172
13165,5602.0,5745.572,-2520.271802039896,14011.41510114268,35,2024-08-27,1,16531.686903182577
13167,5704.0,5788.873,-2718.6333477906655,14296.379172604507,36,2024-08-27,1,17015.012520395172
13169,6048.0,5696.446,-2544.0668521197567,13936.95871308167,35,2024-08-27,1,16481.025565201428
13173,2982.0,3092.2815,-6223.399399754417,12407.962304589164,39,2024-08-27,2,18631.36170434358
13175,3472.0,3513.728,-6200.291610369211,13227.747752317911,40,2024-08-27,2,19428.039362687123
13182,4818.0,4986.251,-2729.4552060986352,12701.956770124514,34,2024-08-27,1,15431.41197622315
13185,4975.0,5073.5137,-2642.1925203228784,12789.219455900271,34,2024-08-27,1,15431.41197622315
13199,3864.0,3577.5999,-5509.343528123253,12664.543074937217,39,2024-08-27,2,18173.88660306047
13201,5844.0,5496.2603,-2744.252578285528,13736.7729869159,35,2024-08-27,1,16481.025565201428
13205,5290.0,4875.047,-3632.459400456376,13382.553119938797,36,2024-08-27,1,17015.012520395172
13207,3162.0,3437.3928,-5649.550388307923,12524.336214752548,39,2024-08-27,2,18173.88660306047
13215,3274.0,3363.1736,-5907.933352833065,12634.280613308223,39,2024-08-27,2,18542.213966141288
13217,3931.0,3520.3567,-6193.663016805178,13234.376345881945,40,2024-08-27,2,19428.039362687123
13219,3254.0,3070.2854,-5507.975405542735,11648.546122400645,37,2024-08-27,2,17156.52152794338
13221,3747.0,4963.105,-3820.552480293894,13746.762631966258,37,2024-08-27,1,17567.315112260152
13223,3574.0,3444.0066,-5941.219527893973,12829.232465439749,39,2024-08-27,2,18770.45199333372
13227,3771.0,3519.7097,-6194.309991964823,13233.7293707223,40,2024-08-27,2,19428.039362687123
13231,3273.0,4098.931,-3616.774793806155,11814.637182416995,34,2024-08-27,1,15431.41197622315
13240,3515.0,3261.275,-6009.832131271633,12532.381834869655,39,2024-08-27,2,18542.213966141288
13243,3487.0,3380.5137,-5890.593402748379,12651.62056339291,39,2024-08-27,2,18542.213966141288
13249,4290.0,4996.449,-3511.0570757798623,13503.95544461531,36,2024-08-27,1,17015.012520395172
13251,3151.0,3389.8918,-5881.215094452175,12660.998871689113,39,2024-08-27,2,18542.213966141288
13253,4213.0,4163.123,-2737.989951842494,11064.235595458216,32,2024-08-27,1,13802.22554730071
13255,3714.0,3532.9192,-6181.100449690348,13246.938912996775,40,2024-08-27,2,19428.039362687123
13259,2932.0,2790.0527,-5364.97884469265,10945.084153225365,36,2024-08-27,2,16310.062997918016
